Team,Year,Coach,Internal?,Type,Years,,
WAS,2021,Wes Unsled Jr,No,Previous AC,2.5,,
POR,2021,Chauncey Billups,No,Previous AC,4,,
ORL,2021,Jamahl Mosley,No,Previous AC,4,,
NOP,2021,Willie Green,No,Previous AC,4,,
IND,2021,Rick Carlisle,No,Previous HC,4,,
DAL,2021,Jason Kidd,No,Previous HC,4,,
BOS,2021,Ime Udoka,No,Previous AC,1,,
ATL,2021,Nate McMillan,Yes,Previous HC,2.5,,
BRK,2020,Steve Nash,No,Player,2.5,,Categories
CHI,2020,Billy Donovan,No,Previous HC,5,,Previous HC
CLE,2020,J.B. Bickerstaff,Yes,Previous HC,5,,Previous AC
HOU,2020,Stephen Silas,No,Previous AC,3,,Foreign Coach
IND,2020,Nate Bjorkgren,No,Previous AC,1,,College
LAC,2020,Tyronn Lue,Yes,Previous HC,5,,Player
NOP,2020,Stan Van Gundy,No,Previous HC,1,,Management
NYK,2020,Tom Thibodeau,No,Previous HC,5,,No Experience
OKC,2020,Mark Daigneault,Yes,Previous AC,5,,
PHI,2020,Doc Rivers,No,Previous HC,3,,
MEM,2019,Taylor Jenkins,No,Previous AC,5.5,,
CLE,2019,John Beilein,No,College,0.5,,
LAL,2019,Frank Vogel,No,Previous HC,3,,
SAC,2019,Luke Walton,No,Previous HC,2.5,,
PHO,2019,Monty Williams,No,Previous HC,4,,
MIN,2019,Ryan Saunders,Yes,Previous AC,2.5,,
ATL,2018,Lloyd Pierce,No,Previous AC,2.5,,
CHO,2018,James Borrego,No,Previous AC,4,,
DET,2018,Dwane Casey,No,Previous HC,5,,
MEM,2018,J.B. Bickerstaff,Yes,Previous AC,2,,
MIL,2018,Mike Budenholzer,No,Previous HC,5,,
NYK,2018,David Fizdale,No,Previous HC,1.5,,
ORL,2018,Steve Clifford,No,Previous HC,3,,
PHO,2018,Igor Kokoskov,No,Previous AC,1,,
TOR,2018,Nick Nurse,Yes,Previous AC,5,,
BRK,2016,Kenny Atkinson,No,Previous AC,4,,
MIN,2016,Tom Thibodeau,No,Previous HC,2.5,,
WAS,2016,Scott Brooks,No,Previous HC,5,,
LAL,2016,Luke Walton,No,Previous AC,3,,
SAC,2016,Dave Joerger,No,Previous HC,3,,
IND,2016,Nate McMillan,Yes,Previous HC,4,,
ORL,2016,Frank Vogel,No,Previous HC,2,,
MEM,2016,David Fizdale,No,Previous AC,1.5,,
HOU,2016,Mike D'Antoni,No,Previous HC,4,,
NYK,2016,Jeff Hornacek,No,Previous HC,2,,
OKC,2015,Billy Donovan,No,College,5,,
NOP,2015,Alvin Gentry,No,Previous HC,5,,
CHI,2015,Fred Hoiberg,No,College,3.5,,
ORL,2015,Scott Skiles,No,Previous HC,1,,
DEN,2015,Michael Malone,No,Previous HC,9.5,,
NYK,2014,Derek Fisher,No,Player,1.5,,
MIN,2014,Flip Saunders,No,Previous HC,1,,
MIL,2014,Jason Kidd,No,Previous HC,2.5,,
BRK,2014,Lionel Hollins,No,Previous HC,1.5,,
UTA,2014,Quin Snyder,No,Previous AC,8,,
LAL,2014,Byron Scott,No,Previous HC,2,,
GSW,2014,Steve Kerr,No,Management,11,,
CLE,2014,David Blatt,No,Foreign,1.5,,
DET,2014,Stan Van Gundy,No,Previous HC,4,,
ATL,2013,Mike Budenholzer,No,Previous AC,5,,
BOS,2013,Brad Stevens,No,College,8,,
BRK,2013,Jason Kidd,No,Player,1,,
CHO,2013,Steve Clifford,No,Previous AC,5,,
CLE,2013,Mike Brown,No,Previous HC,1,,
DEN,2013,Brian Shaw,No,Previous AC,1.5,,
DET,2013,Maurice Cheeks,No,Previous HC,0.5,,
LAC,2013,Doc Rivers,No,Previous HC,7,,
MEM,2013,Dave Joerger,Yes,Previous AC,3,,
MIL,2013,Larry Drew,No,Previous HC,1,,
PHI,2013,Brett Brown,No,Previous AC,7,,
PHO,2013,Jeff Hornacek,No,Previous AC,2.5,,
SAC,2013,Michael Malone,No,Previous AC,1.5,,
CHO,2012,Mike Dunlap,No,Previous AC,1,,
ORL,2012,Jacque Vaughn,No,Previous AC,2.5,,
POR,2012,Terry Stotts,No,Previous HC,9,,
LAL,2011,Mike Brown,No,Previous HC,1.5,,
HOU,2011,Kevin McHale,No,Previous HC,4.5,,
GSW,2011,Mark Jackson,No,Player,3,,
TOR,2011,Dwane Casey,No,Previous HC,7,,
DET,2011,Lawrence Frank,No,Previous HC,2,,
MIN,2011,Rick Adelman,No,Previous HC,3,,
PHI,2010,Doug Collins,No,Previous HC,3,,
NOH,2010,Monty Williams,No,Previous AC,5,,
NJN,2010,Avery Johnson,No,Previous HC,2.5,,
ATL,2010,Larry Drew,Yes,Previous AC,3,,
CHI,2010,Tom Thibodeau,No,Previous AC,5,,
CLE,2010,Byron Scott,No,Previous HC,3,,
LAC,2010,Vinny Del Negro,No,Previous HC,3,,
GSW,2010,Keith Smart,Yes,Previous AC,1,,
WAS,2009,Flip Saunders,No,Previous HC,2.5,,
SAC,2009,Paul Westphal,No,Previous HC,2.5,,
PHI,2009,Eddie Jordan,No,Previous HC,1,,
MIN,2009,Kurt Rambis,No,Previous HC,2,,
DET,2009,John Kuester,No,Previous AC,2,,
CHA,2008,Larry Brown,No,Previous HC,3,,
CHI,2008,Vinny Del Negro,Yes,Management,2,,
MIL,2008,Scott Skiles,No,Previous HC,4.5,,
MIA,2008,Erik Spoelstra,Yes,Previous AC,17,,
NYK,2008,Mike D'Antoni,No,Previous AC,3.5,,
DAL,2008,Rick Carlisle,No,Previous HC,13,,
DET,2008,Michael Curry,Yes,Previous AC,1,,
PHO,2008,Terry Porter,No,Previous HC,0.5,,
CHO,2007,Sam Vincent,No,Previous AC,1,,
HOU,2007,Rick Adelman,No,Previous HC,4,,
IND,2007,Jim O'Brien,No,Previous HC,3.5,,
MEM,2007,Marv Iavaroni,No,Previous AC,1.5,,
ORL,2007,Stan Van Gundy,No,Previous HC,5,,
SAC,2007,Reggie Theus,No,College,1.5,,
SEA,2007,P.J. Carlesimo,No,Previous AC,1,,
GSW,2006,Don Nelson,No,Previous HC,4,,
NYK,2006,Isiah Thomas,Yes,Management,2,,
SAC,2006,Eric Musselman,No,Previous HC,1,,
CLE,2005,Mike Brown,No,Previous AC,5,,
DET,2005,Flip Saunders,No,Previous HC,3,,
MIL,2005,Terry Stotts,No,Previous HC,1.5,,
MIN,2005,Dwane Casey,No,Previous AC,1.5,,
NYK,2005,Larry Brown,No,Previous HC,1,,
ORL,2005,Brian Hill,No,Previous HC,2,,
PHI,2005,Maurice Cheeks,No,Previous HC,3.5,,
POR,2005,Nate McMillan,No,Previous HC,6.5,,
SEA,2005,Bob Weiss,Yes,Previous HC,0.5,,
ATL,2004,Mike Woodson,No,Previous AC,6,,
BOS,2004,Doc Rivers,No,Previous HC,9,,
CHO,2004,Bernie Bickerstaff,No,Previous HC,3,,
GSW,2004,Mike Montgomery,No,College,2,,
LAL,2004,Rudy Tomjanovich,No,Previous HC,0.5,,
NOH,2004,Byron Scott,No,Previous HC,5.5,,
PHI,2004,Jim O'Brien,No,Previous HC,1,,
TOR,2004,Sam Mitchell,No,Previous AC,4.5,,
CLE,2003,Paul Silas,No,Previous HC,1.5,,
DET,2003,Larry Brown,No,Previous HC,2,,
HOU,2003,Jeff Van Gundy,No,Previous HC,4,,
IND,2003,Rick Carlisle,No,Previous HC,4,,
LAC,2003,Mike Dunleavy Sr,No,Previous HC,6.5,,
MIA,2003,Stan Van Gundy,Yes,Previous AC,2.5,,
MIL,2003,Terry Porter,No,Previous AC,2,,
NOH,2003,Tim Floyd,No,Previous HC,1,,
PHI,2003,Randy Ayers,Yes,Previous AC,0.5,,
TOR,2003,Kevin O'Neill,No,Previous AC,1,,
WAS,2003,Eddie Jordan,No,Previous HC,5.5,,
DEN,2002,Jeff Bzdelik,No,Previous AC,2.5,,
GSW,2002,Eric Musselman,No,Previous AC,2,,
CLE,2001,John Lucas,No,Previous HC,1.5,,
DET,2001,Rick Carlisle,No,Previous AC,2,,
POR,2001,Maurice Cheeks,No,Previous AC,3.5,,
WAS,2001,Doug Collins,No,Previous HC,2,,
ATL,2000,Lon Kruger,No,College,2.5,,
GSW,2000,Dave Cowens,No,Previous HC,1.5,,
IND,2000,Isiah Thomas,No,Management,3,,
LAC,2000,Alvin Gentry,No,Previous HC,2.5,,
NJN,2000,Byron Scott,No,Previous AC,3.5,,
TOR,2000,Lenny Wilkens,No,Previous HC,3,,
VAN,2000,Sidney Lowe,No,Previous HC,1,,
WAS,2000,Leonard Hamilton,No,College,1,,
CLE,1999,Randy Wittman,No,Previous AC,2,,
DEN,1999,Dan Issel,Yes,Previous HC,2.5,,
LAL,1999,Phil Jackson,No,Previous HC,11,,
ORL,1999,Doc Rivers,No,Player,4.5,,
WAS,1999,Gar Heard,No,Previous AC,0.5,,
CHI,1998,Tim Floyd,No,College,3.5,,
DEN,1998,Mike D'Antoni,Yes,Previous AC,1,,
LAC,1998,Chris Ford,No,Previous HC,1.5,,
MIL,1998,George Karl,No,Previous HC,5,,
SAC,1998,Rick Adelman,No,Previous HC,8,,
SEA,1998,Paul Westphal,No,Previous HC,2.5,,
BOS,1997,Rick Pitino,No,Previous HC,3.5,,
DEN,1997,Bill Hanzlik,No,Previous AC,1,,
GSW,1997,PJ Carlesimo,No,Previous HC,2.5,,
IND,1997,Larry Bird,Yes,Management,3,,
ORL,1997,Chuck Daly,No,Previous HC,2,,
PHI,1997,Larry Brown,No,Previous HC,6,,
POR,1997,Mike Dunleavy Sr,No,Previous HC,4,,
VAN,1997,Brian Hill,No,Previous HC,2.5,,
CHO,1996,Dave Cowens,No,Previous HC,2.5,,
DAL,1996,Jim Cleamons,No,Previous AC,1.5,,
MIL,1996,Chris Ford,No,Previous HC,2,,
NJN,1996,John Calipari,No,College,2.5,,
PHI,1996,Johnny Davis,No,Previous AC,1,,
PHO,1996,Danny Ainge,Yes,Previous AC,3.5,,
TOR,1996,Darrell Walker,Yes,Previous AC,1.5,,
BOS,1995,M.L. Carr,Yes,Management,2,,
DET,1995,Doug Collins,No,Previous HC,2.5,,
GSW,1995,Rick Adelman,No,Previous HC,2,,
MIA,1995,Pat Riley,No,Previous HC,11,,
NYK,1995,Don Nelson,No,Previous HC,0.5,,
TOR,1995,Brendan Malone,No,Previous AC,1,,
VAN,1995,Brian Winters,No,Previous AC,1.5,,
DAL,1994,Dick Motta,No,Previous HC,3,,
LAC,1994,Bill Fitch,No,Previous HC,4,,
LAL,1994,Del Harris,No,Previous HC,4.5,,
MIN,1994,Bill Blair,No,Previous HC,1.5,,
NJN,1994,Butch Beard,No,College,2,,
PHI,1994,John Lucas II,No,Previous HC,2,,
POR,1994,P.J. Carlesimo,No,College,3,,
SAS,1994,Bob Hill,No,Previous HC,2,,
WAS,1994,Jim Lyman,No,Previous HC,3,,
ATL,1993,Lenny Wilkens,No,Previous HC,7,,
CLE,1993,Mike Fratello,No,Previous HC,6,,
DAL,1993,Quinn Buckner,No,Player,1,,
DET,1993,Don Chaney,Yes,Previous HC,2,,
IND,1993,Larry Brown,No,Previous HC,4,,
LAC,1993,Bob Weiss,No,Previous HC,1,,
ORL,1993,Brian Hill,Yes,Previous AC,3.5,,
DEN,1992,Dan Issel,No,Player,2.5,,
DET,1992,Ron Rothstein,No,Previous HC,1,,
LAL,1992,Randy Pfund,Yes,Previous AC,1.5,,
MIL,1992,Mike Dunleavy Sr,No,Previous HC,4,,
NJN,1992,Chuck Daly,No,Previous HC,2,,
PHI,1992,Doug Moe,No,Previous HC,0.5,,
PHO,1992,Paul Westphal,Yes,Previous AC,3.5,,
SAC,1992,Garry St. Jean,No,Previous AC,5,,
SAS,1992,Jerry Tarkanian,No,College,0.5,,
CHO,1991,Allan Brislow,No,Previous AC,5,,
MIA,1991,Kevin Loughery,No,Previous HC,3.5,,
MIN,1991,Jimmy Rodgers,No,Previous HC,1.5,,
NYK,1991,Pat Riley,No,Previous HC,4,,
ATL,1990,Bob Weiss,No,Previous HC,3,,
BOS,1990,Chris Ford,Yes,Previous AC,5,,
DEN,1990,Paul Westhead,No,Previous HC,2,,
LAC,1990,Mike Schuler,No,Previous HC,1.5,,
LAL,1990,Mike Dunleavy Sr,No,Previous AC,2,,
NYK,1990,John MacLeod,No,Previous HC,1,,
SEA,1990,KC Jones,Yes,Previous HC,1.5,,